Source	Revision	URL	Schema
mca	201711	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201801/201801151447.html	mca
mca	201710	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201801/201801151445.html	mca
mca	201709	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201711/201711021604.html	mca
mca	201708	http://www.mca.gov.cn/article/sj/tjbz/a/2017/20178/201709251028.html	mca
mca	201707	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201707/201708241433.html	mca
mca	201706	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201708/201708021622.html	mca
mca	201705	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201705/201706301407.html	mca
mca	201704	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201704/201705311534.html	mca
mca	201703	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201704/201705311542.html	mca
mca	201702	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201704/201705311543.html	mca
mca	201701	http://www.mca.gov.cn/article/sj/tjbz/a/2017/201704/201705311547.html	mca
mca	201612	http://www.mca.gov.cn/article/sj/tjbz/a/2016/201612/201705311652.html	mca
mca	201610	http://www.mca.gov.cn/article/sj/tjbz/a/2016/20161010/201612021606.html	mca
mca	201608	http://www.mca.gov.cn/article/sj/tjbz/a/2016/20161013/201610131137.html	mca
mca	201605	http://www.mca.gov.cn/article/sj/tjbz/a/2016/201605/20160506281034.html	mca
mca	201604	http://www.mca.gov.cn/article/sj/tjbz/a/2016/20160406/20160406031553.html	mca
mca	201603	http://www.mca.gov.cn/article/sj/tjbz/a/2016/201603/201604281751.html	mca
mca	201602	http://files2.mca.gov.cn/www/201603/20160321153519524.htm	mca
mca	201601	http://www.mca.gov.cn/article/sj/tjbz/a/2015/up/201603/20160300881353.htm	mca
mca	201512	http://www.mca.gov.cn/article/sj/tjbz/a/2015/201706011127.html	mca
mca	201511	http://files2.mca.gov.cn/www/201512/20151224151630189.htm	mca
mca	201510	http://files2.mca.gov.cn/www/201511/20151127101349186.htm	mca
mca	201509	http://files2.mca.gov.cn/www/201510/20151027164514222.htm	mca
mca	201508	http://files2.mca.gov.cn/www/201509/20150923163050122.htm	mca
mca	201507	http://files2.mca.gov.cn/www/201509/20150923163536438.htm	mca
mca	201506	http://files2.mca.gov.cn/www/201509/20150923165323491.htm	mca
mca	201505	http://files2.mca.gov.cn/www/201509/20150923165551456.htm	mca
mca	201504	http://files2.mca.gov.cn/www/201509/20150923165725386.htm	mca
mca	201503	http://files2.mca.gov.cn/cws/201505/20150505105354985.htm	mca
mca	201502	http://files2.mca.gov.cn/www/201509/20150923165847466.htm	mca
mca	201501	http://files2.mca.gov.cn/www/201509/20150923165951249.htm	mca
mca	201412	http://files2.mca.gov.cn/cws/201502/20150225163817214.html	mca
mca	201312	http://files2.mca.gov.cn/cws/201404/20140404125552372.htm	mca
mca	201212	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201707271556.html	mca
mca	201112	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201707271552.html	mca
mca	201012	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220946.html	mca
mca	200912	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220943.html	mca
mca	200812	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220941.html	mca
mca	200712	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220939.html	mca
mca	200612	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220936.html	mca
mca	200512	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220935.html	mca
mca	200412	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220930.html	mca
mca	200312	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220928.html	mca
mca	200212	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220927.html	mca
mca	200112	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220925.html	mca
mca	200012	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220923.html	mca
mca	199912	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220921.html	mca
mca	199812	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220918.html	mca
mca	199712	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220916.html	mca
mca	199612	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220914.html	mca
mca	199512	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220913.html	mca
mca	199412	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220911.html	mca
mca	199312	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708041023.html	mca
mca	199212	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220910.html	mca
mca	199112	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708041020.html	mca
mca	199012	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708041018.html	mca
mca	198912	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708041017.html	mca
mca	198812	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220903.html	mca
mca	198712	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220902.html	mca
mca	198612	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220859.html	mca
mca	198512	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220858.html	mca
mca	198412	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708220856.html	mca
mca	198312	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708160821.html	mca
mca	198212	http://www.mca.gov.cn/article/sj/tjbz/a/123654/1982%E5%B9%B4%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E4%BB%A3%E7%A0%81.html	mca
mca	198112	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708041004.html	mca
mca	198012	http://www.mca.gov.cn/article/sj/tjbz/a/201713/201708040959.html	mca
